Model,Accuracy,Precision,Recall
Logistic Regression,0.8248992386923422,0.8209817131857555,0.8062381852551985
Decision Tree,0.8190774742498881,0.8144230769230769,0.8005671077504726
Random Forest,0.8616211374832065,0.8259355961705831,0.8969754253308129
XGBoost,0.8611733094491715,0.8315602836879432,0.8865784499054821
